centroid_town,centroid_x,centroid_y,centroid_lat,centroid_lon
Templeton,152906.20452786892,924387.064253536,42.56861751032632,-72.07356448456856
Palmer,132996.13579334406,882356.9716806082,42.18878916164726,-72.31117256046635
Foxborough,221011.27260799834,868060.736836173,42.0626646162938,-71.2461382886907
Peabody,243337.47199293823,920463.9973214924,42.53351969364494,-70.9724787859239
Agawam,104614.5364754801,869014.2621488129,42.06572879053772,-72.6525520635309
Medfield,216108.78327159517,881615.2783541816,42.1848143103171,-71.30499634168794
Worcester,174596.33622011245,891164.1728770736,42.270536168674994,-71.8079386515929
Swampscott,248785.3219080869,914078.5382529544,42.47571385052897,-70.90670800887662
Wayland,211585.06935081267,900902.3068637337,42.358534188478444,-71.3593727669095
Becket,69424.72608245171,893934.0085929496,42.28497502115571,-73.08325834446187
Great Barrington,47945.18767596228,886145.248480406,42.21098485248316,-73.34158918971977
Rowe,84236.15610708845,939636.8444307344,42.698692098807946,-72.91287919929478
Middlefield,75122.68618269508,901209.6268361275,42.35139745624897,-73.01575151678398
Groton,194961.46753932416,929235.4611932451,42.61367304350035,-71.5614086933394
Truro,318839.20909539564,863291.6842102723,42.011010175150325,-70.06526518759676
Winchendon,155013.6131939462,935276.4203224498,42.66676805325993,-72.04875189069816
Wellfleet,323207.7752054402,853920.2491011594,41.925974877569395,-70.01450460908947
Amesbury,245392.84016196345,955962.9351352989,42.85295539500133,-70.94464733923992
Hancock,50497.73492858843,921673.0921211998,42.531252603208344,-73.3198630286769
Westborough,190591.9968606395,890858.574606557,42.268141106611836,-71.61403759987071
Milton,234307.56488447686,887950.3713830174,42.24126261358008,-71.08432119642815
Adams,67220.12690379609,931958.1415797122,42.6268568983917,-73.11873205914009
Millis,211356.38669623464,879884.3683420225,42.169314155476485,-71.36255976164053
Brimfield,141610.7429073794,875598.559803578,42.12863454350672,-72.20620878047929
Ashburnham,165136.9371512632,934353.9691756004,42.658984528747084,-71.92521204716002
Colrain,100273.9745135221,937686.2708187031,42.683360609734464,-72.71682929148474
